Glia and neuronal cell	Oligodendrocyte	B cell	Pericyte	Endothelial cell	T cell	Myeloid cell
13000x7480	0.20824839933377	0.0266956890099036	0.0121383587175349	0.265315784246728	0.36559855493554	0.00030033701476117	0.121702876741762
13380x7480	0.202373307380823	0.0255230398508577	0.013065867769774	0.266143587955635	0.377287083320045	0.000184934047288395	0.115422179675578
13760x7480	0.234506532525935	0.0246323834895834	0.0127308640191666	0.239175876719116	0.373114659215041	0.000146874664193932	0.115692809366965
14140x7480	0.267507625765757	0.0265612093824009	0.010464694539434	0.194998731945486	0.400802483312859	0.00012967539404893	0.099535579660015
14520x7480	0.251763013619054	0.0255939982851173	0.0123193265250867	0.184092027354109	0.415581181546958	0.000123501774568295	0.110526950895107
14900x7480	0.239907262430232	0.0247034369289509	0.0143269113139661	0.188402178229628	0.420614673419679	7.61129156489814e-05	0.111969424761895
15280x7480	0.24174383063885	0.0239864222013505	0.0171142048142619	0.192568308526914	0.410124114052815	0.000114091220476267	0.114349028545333
15660x7480	0.272722311603482	0.0274027681508712	0.0152343404427368	0.189657500779525	0.396303373895693	0.000118544328023195	0.0985611607996692
16040x7480	0.295800827591077	0.029440274533098	0.00909390442452976	0.21029841247886	0.379290914488299	6.14939703811519e-05	0.0760141725137545
16420x7480	0.294624540360689	0.026689796506403	0.00794642357846692	0.218827958249431	0.367217510905473	5.30665191601497e-05	0.0846407038803774
16800x7480	0.271914997296223	0.0244219104721128	0.00844633794147365	0.228877069840447	0.376111188320092	7.92612222539929e-05	0.0901492349073969
17180x7480	0.151092495174722	0.0163068942117218	0.00444173204212397	0.318086437102458	0.454139852250927	4.59276024779242e-05	0.0558866616155697
17560x7480	0.117613454250566	0.0116705863066141	0.00552618893145399	0.355737287878945	0.464739737288183	3.57298594352951e-05	0.0446770154848031
17940x7480	0.178393555153088	0.0174706822192895	0.00682062763131034	0.304870941590777	0.439680908822572	9.82622373342119e-05	0.0526650223456285
18320x7480	0.245758613073485	0.0251833214340672	0.00924326774082905	0.251032312911194	0.395429292315194	0.000297984779119541	0.0730552077461108
10340x7860	0.185151467960302	0.0135922806565422	0.0106238816130297	0.359007750863609	0.333456114377251	0.000666635662497353	0.0975018688667681
10720x7860	0.151847934553285	0.0109946642255707	0.00738250185739398	0.365337179033017	0.372510468614559	0.000316909014039622	0.0916103427021346
11100x7860	0.1777657992223	0.0149493194367208	0.00727076104618939	0.316129543168843	0.350971808647152	0.00047705710717624	0.132435711371619
11480x7860	0.20339517555482	0.0176090412584414	0.00755811596983203	0.271502440842683	0.349940839753605	0.00181276913123884	0.14818161748938
11860x7860	0.196029800954002	0.017146633841095	0.00846222924180437	0.277599378080997	0.356320719793742	0.00183493349202943	0.142606304596331
12240x7860	0.185881417380825	0.0168755177104051	0.0108011514771138	0.269720451210916	0.381753833170698	0.00053985691472564	0.134427772135316
12620x7860	0.185615234773777	0.0195834383157016	0.00963155474443915	0.265955316808026	0.371474960111385	0.000154854335344616	0.147584640911327
13000x7860	0.203951986355224	0.0222312873668724	0.0106473052905692	0.269771422412627	0.342247706250071	9.48337807340034e-05	0.151055458543902
