Glia and neuronal cell	Oligodendrocyte	B cell	Pericyte	Endothelial cell	T cell	Myeloid cell
1566x362	0.31531789031548	0.019083562639491	0.0521289584248629	0.294440538494004	0.256520273415294	0.00277547105441754	0.0597333056564499
1698x362	0.535207858002083	0.0233500887569122	0.0763685380367019	0.140471192552324	0.158295916744365	0.00407857894432683	0.0622278269632871
1731x362	0.5055622725134	0.0307106413820637	0.0729577199084302	0.166289534491214	0.160262925115056	0.00247882981127095	0.0617380767785663
1764x362	0.495933588927827	0.0455461739571152	0.0636547134249762	0.163960292424489	0.173551079294241	0.00249968711022804	0.0548544648611232
1797x362	0.472582700078771	0.0442214886554132	0.0519032300155391	0.151209701255079	0.236041305340376	0.00185137084860519	0.042190203806216
1830x362	0.487468248618293	0.036269990591562	0.0530763951017725	0.142937670242315	0.245343562315149	0.00150030935334413	0.0334038237775647
1863x362	0.536566170913069	0.0234822296505124	0.0513809567217631	0.143172509823292	0.206338574644824	0.00131698365211735	0.037742574594423
1896x362	0.499764222290452	0.0200332485041085	0.0496259074713514	0.180050880509792	0.207068027336159	0.00124959312300797	0.0422081207651287
1302x395	0.146895183473321	0.0104380801591634	0.0308556121495762	0.377793698110526	0.39049377866098	0.000777943254422809	0.04274570419201
1335x395	0.137288287398728	0.0109793259374361	0.0339326688054187	0.400454462276795	0.372302073451761	0.00100197484163471	0.044041207288226
1368x395	0.143701790750201	0.0122133086701152	0.0418362401836787	0.39933919550629	0.348185429635282	0.00260720740449821	0.052116827849934
1401x395	0.176928824795601	0.0131411839169123	0.0493735133713832	0.383727221432713	0.317987619235715	0.00327664622480787	0.055564991022868
1434x395	0.22085722638138	0.0139026689642832	0.0474645928809597	0.353526154190051	0.310181330979673	0.0029481770094387	0.0511198495942154
1467x395	0.249268111187866	0.0150386506709286	0.0483537361802266	0.334431939180702	0.297514268082827	0.00290462344968099	0.0524886712477696
1500x395	0.265652504152111	0.016001099406846	0.0491985533506305	0.324328304128004	0.287894084557306	0.00289436839774116	0.0540310860073605
1533x395	0.293066439395131	0.0173671399887128	0.0515334043010938	0.308046343276959	0.269923032425197	0.00275065088723531	0.057312989725671
1566x395	0.347643488017031	0.0201283572095465	0.05233732414091	0.281286886185003	0.232450337103682	0.00224603652175341	0.0639075708220732
1599x395	0.398311246148656	0.0227007627696118	0.0576319825349658	0.248905367589448	0.202502829663919	0.00206690535014768	0.067880905943252
1632x395	0.473447690340436	0.0263502159437249	0.0703334708344552	0.188254284597788	0.175402983061744	0.00275643364922519	0.0634549215726259
1665x395	0.528049714537399	0.0231227326127376	0.0691759925478872	0.155062810660161	0.156806795334552	0.00349706154664727	0.0642848927606157
1698x395	0.510049280813006	0.018652713693593	0.0705037472924659	0.147889217072392	0.175897446778031	0.00367026226715574	0.0733373320833555
1731x395	0.469933535712632	0.0290121780797261	0.067476914124598	0.167846890863831	0.190112358612444	0.00239220732161157	0.0732259152851582
1764x395	0.480763069626032	0.0421353886777261	0.0645107038673537	0.177044732899795	0.180518914293661	0.00247583746653368	0.0525513531688978
1797x395	0.444311819421125	0.0439477690009202	0.0507883627384685	0.168206922339271	0.249959823955477	0.00236852510618356	0.0404167774385544
1830x395	0.471361631515555	0.0274117943948723	0.0520369305916046	0.148897583162381	0.259239682961012	0.00183369951655716	0.0392186778580179
1863x395	0.520017232990938	0.0209951612356115	0.0624080305529262	0.133633049667058	0.1998907919088	0.00116576245388292	0.0618899711907838
1896x395	0.490974381941429	0.0170970573195369	0.070256468848406	0.15616718814184	0.194330071912178	0.00101737094105223	0.0701574608955571
1929x395	0.472157582857781	0.0163177457284195	0.0903976306075219	0.154644031777292	0.187572094356252	0.000974578351868668	0.0779363363208642
1269x428	0.117642288426255	0.00846787051397718	0.0192405306027935	0.404239972161859	0.421689972473685	0.000807741557018599	0.0279116242644108
1302x428	0.131936330393686	0.0100639083046142	0.0221111034406355	0.382589409725882	0.419966968477356	0.000731941669665131	0.0326003379881613
1335x428	0.111582715701555	0.00943937230593457	0.0255059545418573	0.40284373954332	0.415060899775116	0.00100141140878507	0.0345659067234317
1368x428	0.124660956592064	0.00970158599814602	0.0345505565097711	0.403902917893174	0.383366743785185	0.00177523150117172	0.0420420077204881
1401x428	0.170355463592058	0.011381929976438	0.0445305565785312	0.381664221123392	0.339494049042076	0.0027055969272761	0.0498681827602285
1434x428	0.221071121500239	0.0136849292927044	0.0463050020867392	0.352257530620273	0.313173723854465	0.00282616191718683	0.0506815307283919
